Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"SARS-CoV-2 Infections in Children - Multi-Center Surveillance, United States, January-March 2020","Rha, B.; Lively, J. Y.; Englund, J. A.; Staat, M. A.; Weinberg, G. A.; Selvarangan, R.; Halasa, N. B.; Williams, J. V.; Boom, J. A.; Sahni, L. C.; Michaels, M. G.; Stewart, L. S.; Harrison, C. J.; Szilagyi, P. G.; McNeal, M. M.; Klein, E. J.; Strelitz, B.; Lacombe, K.; Schlaudecker, E.; Moffatt, M. E.; Schuster, J. E.; Pahud, B. A.; Weddle, G.; Hickey, R. W.; Avadhanula, V.; Wikswo, M. E.; Hall, A. J.; Curns, A. T.; Gerber, S. I.; Langley, G.","Previous reports of COVID-19 among US children have been based on health jurisdiction reporting. We performed SARS-CoV-2 testing on children enrolled in active, prospective, multi-center surveillance during January-March, 2020. Among 3187 children, only 4 (0.1%) SARS-CoV-2-positive cases were identified March 20-31 despite evidence of rising community circulation.",2020,Jun 18,J Pediatric Infect Dis Soc,,,,32556327,10.1093/jpids/piaa075,,#1502,Rha 2020,"",extracted; qa done
Clinical and CT features in pediatric patients with COVID-19 infection: Different points from adults,"Xia, W.; Shao, J.; Guo, Y.; Peng, X.; Li, Z.; Hu, D.","PURPOSE: To discuss the different characteristics of clinical, laboratory, and chest computed tomography (CT) in pediatric patients from adults with 2019 novel coronavirus (COVID-19) infection. METHODS: The clinical, laboratory, and chest CT features of 20 pediatric inpatients with COVID-19 infection confirmed by pharyngeal swab COVID-19 nucleic acid test were retrospectively analyzed during 23 January and 8 February 2020. The clinical and laboratory information was obtained from inpatient records. All the patients were undergone chest CT in our hospital. RESULTS: Thirteen pediatric patients (13/20, 65%) had an identified history of close contact with COVID-19 diagnosed family members. Fever (12/20, 60%) and cough (13/20, 65%) were the most common symptoms. For laboratory findings, procalcitonin elevation (16/20, 80%) should be pay attention to, which is not common in adults. Coinfection (8/20, 40%) is common in pediatric patients. A total of 6 patients presented with unilateral pulmonary lesions (6/20, 30%), 10 with bilateral pulmonary lesions (10/20, 50%), and 4 cases showed no abnormality on chest CT (4/20, 20%). Consolidation with surrounding halo sign was observed in 10 patients (10/20, 50%), ground-glass opacities were observed in 12 patients (12/20, 60%), fine mesh shadow was observed in 4 patients (4/20, 20%), and tiny nodules were observed in 3 patients (3/20, 15%). CONCLUSION: Procalcitonin elevation and consolidation with surrounding halo signs were common in pediatric patients which were different from adults. It is suggested that underlying coinfection may be more common in pediatrics, and the consolidation with surrounding halo sign which is considered as a typical sign in pediatric patients.",2020,May,Pediatr Pulmonol,55,5,1169-1174,32134205,10.1002/ppul.24718,,#90,Xia 2020,"",Q3. severity; extracted; qa done
"Clinical and epidemiological features of COVID-19 family clusters in Beijing, China","Song, R.; Han, B.; Song, M.; Wang, L.; Conlon, C. P.; Dong, T.; Tian, D.; Zhang, W.; Chen, Z.; Zhang, F.; Shi, M.; Li, X.","BACKGROUND: Since its discovery, SARS-CoV-2 has been spread throughout China before becoming a global pandemic. In Beijing, family clusters are the main mode of human-human transmission accounting for 57.6% of the total confirmed cases. METHOD: We present the epidemiological and clinical features of the clusters of three large and one small families. RESULT: Our results revealed that SARS-CoV-2 is transmitted quickly through contact with index case, and a total of 22/24 infections were observed. Among those infected, 20/22 had mild symptoms and only two had moderate to severe clinical manifestations. Children in the families generally showed milder symptoms. The incubation period varied from 2 to 13 days, and the shedding of virus from the upper respiratory tract lasted from 5 to over 30 days. A prolonged period of virus shedding (>30 days) in upper respiratory tract was observed in 6/24 cases. CONCLUSION: SARS-CoV-2 is transmitted quickly in the form of family clusters. While the infection rate is high within the cluster, the disease manifestations, latent period, and virus shedding period varied greatly. We therefore recommend rigorously testing contacts even during the no-symptom phase and consider whether viral shedding has ceased before stopping isolation measures for an individual.",2020,Apr 23,J Infect,,,,32335171,10.1016/j.jinf.2020.04.018,,#190,Song 2020,"",Q2. infectiousness; Q3. severity; extracted; figure for extraction; qa done; table-for-extraction
Clinical features of pediatric patients with coronavirus disease (COVID-19),"Song, W.; Li, J.; Zou, N.; Guan, W.; Pan, J.; Xu, W.","BACKGROUND: Coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 has spread around the world, and reports of children with COVID-19 are increasing. OBJECTIVES: To assess clinical profiles of pediatric COVID-19. STUDY DESIGN: A retrospective analysis was undertaken using clinical data of sixteen children (11 months-14 years) diagnosed with COVID-19 between January 1, 2020 and March 17, 2020 at Xiangyang Central Hospital, Hubei province, China. RESULTS: All children had positive epidemiologic histories, 12 (12/16, 75 %) involving family units. The illnesses were either mild (5/16, 31.3 %) or ordinary (11/16, 68.8 %), presenting as follows: asymptomatic (8/16, 50 %), fever and/or cough (8/16, 50 %). Four asymptomatic patients (4/16, 25 %) in ordinary cases had chest computed tomography (CT) abnormalities. Leukocyte counts were normal in 14 cases(88 %), but 2 patients (12.5 %) had leukopenia, and 1 (6.3 %) was lymphopenic. There were 11 patients with chest CT abnormalities, some nodular, others small patchy and others ground-glass opacities. In asymptomatic children, the median time to SRAS-CoV-2 nucleic acid test(NAT) positivity once exposed to a family member with confirmed infection was 15.5 days (range, 10-26 days). The median time to first NAT-negative conversion was 5.5 days (range, 1-23 days). CONCLUSIONS: COVID-19 in children of Xiangyang city is often family acquired and not serious, with favorable outcomes. Asymptomatic children can be diagnosed as pneumonia because of chest CT abnormalities. It is essential to actively screen this segment of the population.",2020,Apr 24,J Clin Virol,127,,104377,32361323,10.1016/j.jcv.2020.104377,,#189,Song 2020,Sangeeta Bhatia (2020-05-12 00:23:16)(Select): This might be a duplicate but I can't find the other ref!; ,extracted; qa done
Children with Covid-19 in Pediatric Emergency Departments in Italy,"Parri, N.; Lenge, M.; Buonsenso, D.",,2020,May 1,N Engl J Med,,,,32356945,10.1056/NEJMc2007617,,#314,Parri 2020,"Katy Gaythorpe (2020-05-06 21:23:21)(Screen): On February 20, 2020, the incidence of Covid-19 began to rapidly escalate in Italy. By March 25, Italy had the second highest number of Covid-19 infections worldwide and the greatest number of deaths.1 Children younger than 18 years of age who had Covid-19 composed only 1% of the total number of patients; 11% of these children were hospitalized, and none died.2 The Coronavirus Infection in Pediatric Emergency Departments (CONFIDENCE) study involved a cohort of 100 Italian children younger than 18 years of age with Covid-19 confirmed by reverse-transcriptase–polymerase-chain-reaction testing of nasal or nasopharyngeal swabs who were assessed between March 3 and March 27 in 17 pediatric emergency departments. Here, we describe the results of the CONFIDENCE study and compare them with those from three cohorts in previously published analyses.3-5; ",extracted; qa done
"Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study","Qiu, H.; Wu, J.; Hong, L.; Luo, Y.; Song, Q.; Chen, D.","BACKGROUND: Since December, 2019, an outbreak of coronavirus disease 2019 (COVID-19) has spread globally. Little is known about the epidemiological and clinical features of paediatric patients with COVID-19. METHODS: We retrospectively retrieved data for paediatric patients (aged 0-16 years) with confirmed COVID-19 from electronic medical records in three hospitals in Zhejiang, China. We recorded patients' epidemiological and clinical features. FINDINGS: From Jan 17 to March 1, 2020, 36 children (mean age 8·3 [SD 3·5] years) were identified to be infected with severe acute respiratory syndrome coronavirus 2. The route of transmission was by close contact with family members (32 [89%]) or a history of exposure to the epidemic area (12 [33%]); eight (22%) patients had both exposures. 19 (53%) patients had moderate clinical type with pneumonia; 17 (47%) had mild clinical type and either were asymptomatic (ten [28%]) or had acute upper respiratory symptoms (seven [19%]). Common symptoms on admission were fever (13 [36%]) and dry cough (seven [19%]). Of those with fever, four (11%) had a body temperature of 38·5°C or higher, and nine (25%) had a body temperature of 37·5-38·5°C. Typical abnormal laboratory findings were elevated creatine kinase MB (11 [31%]), decreased lymphocytes (11 [31%]), leucopenia (seven [19%]), and elevated procalcitonin (six [17%]). Besides radiographic presentations, variables that were associated significantly with severity of COVID-19 were decreased lymphocytes, elevated body temperature, and high levels of procalcitonin, D-dimer, and creatine kinase MB. All children received interferon alfa by aerosolisation twice a day, 14 (39%) received lopinavir-ritonavir syrup twice a day, and six (17%) needed oxygen inhalation. Mean time in hospital was 14 (SD 3) days. By Feb 28, 2020, all patients were cured. INTERPRETATION: Although all paediatric patients in our cohort had mild or moderate type of COVID-19, the large proportion of asymptomatic children indicates the difficulty in identifying paediatric patients who do not have clear epidemiological information, leading to a dangerous situation in community-acquired infections. FUNDING: Ningbo Clinical Research Center for Children's Health and Diseases, Ningbo Reproductive Medicine Centre, and Key Scientific and Technological Innovation Projects of Wenzhou.",2020,Mar 25,Lancet Infect Dis,,,,32220650,10.1016/s1473-3099(20)30198-5,,#276,Qiu 2020,"",Q3. severity; extracted; qa done
"Estimating the infection and case fatality ratio for coronavirus disease (COVID-19) using age-adjusted data from the outbreak on the Diamond Princess cruise ship, February 2020","Russell, T. W.; Hellewell, J.; Jarvis, C. I.; van Zandvoort, K.; Abbott, S.; Ratnayake, R.; Cmmid Covid-Working, Group; Flasche, S.; Eggo, R. M.; Edmunds, W. J.; Kucharski, A. J.","Adjusting for delay from confirmation to death, we estimated case and infection fatality ratios (CFR, IFR) for coronavirus disease (COVID-19) on the Diamond Princess ship as 2.6% (95% confidence interval (CI): 0.89-6.7) and 1.3% (95% CI: 0.38-3.6), respectively. Comparing deaths on board with expected deaths based on naive CFR estimates from China, we estimated CFR and IFR in China to be 1.2% (95% CI: 0.3-2.7) and 0.6% (95% CI: 0.2-1.3), respectively.",2020,Mar,Euro Surveill,25,12,,32234121,10.2807/1560-7917.Es.2020.25.12.2000256,,#239,Russell 2020,"",Q1. susceptibility; Q3. severity; extracted; qa done
"COVID-19 in children and adolescents in Europe: a multinational, multicentre cohort study","Götzinger, F.; Santiago-García, B.; Noguera-Julián, A.; Lanaspa, M.; Lancella, L.; Calò Carducci, F. I.; Gabrovska, N.; Velizarova, S.; Prunk, P.; Osterman, V.; Krivec, U.; Lo Vecchio, A.; Shingadia, D.; Soriano-Arandes, A.; Melendo, S.; Lanari, M.; Pierantoni, L.; Wagner, N.; L'Huillier, A. G.; Heininger, U.; Ritz, N.; Bandi, S.; Krajcar, N.; Roglić, S.; Santos, M.; Christiaens, C.; Creuven, M.; Buonsenso, D.; Welch, S. B.; Bogyi, M.; Brinkmann, F.; Tebruegge, M.","BACKGROUND: To date, few data on paediatric COVID-19 have been published, and most reports originate from China. This study aimed to capture key data on children and adolescents with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection across Europe to inform physicians and health-care service planning during the ongoing pandemic. METHODS: This multicentre cohort study involved 82 participating health-care institutions across 25 European countries, using a well established research network-the Paediatric Tuberculosis Network European Trials Group (ptbnet)-that mainly comprises paediatric infectious diseases specialists and paediatric pulmonologists. We included all individuals aged 18 years or younger with confirmed SARS-CoV-2 infection, detected at any anatomical site by RT-PCR, between April 1 and April 24, 2020, during the initial peak of the European COVID-19 pandemic. We explored factors associated with need for intensive care unit (ICU) admission and initiation of drug treatment for COVID-19 using univariable analysis, and applied multivariable logistic regression with backwards stepwise analysis to further explore those factors significantly associated with ICU admission. FINDINGS: 582 individuals with PCR-confirmed SARS-CoV-2 infection were included, with a median age of 5·0 years (IQR 0·5-12·0) and a sex ratio of 1·15 males per female. 145 (25%) had pre-existing medical conditions. 363 (62%) individuals were admitted to hospital. 48 (8%) individuals required ICU admission, 25 (4%) mechanical ventilation (median duration 7 days, IQR 2-11, range 1-34), 19 (3%) inotropic support, and one (<1%) extracorporeal membrane oxygenation. Significant risk factors for requiring ICU admission in multivariable analyses were being younger than 1 month (odds ratio 5·06, 95% CI 1·72-14·87; p=0·0035), male sex (2·12, 1·06-4·21; p=0·033), pre-existing medical conditions (3·27, 1·67-6·42; p=0·0015), and presence of lower respiratory tract infection signs or symptoms at presentation (10·46, 5·16-21·23; p<0·0001). The most frequently used drug with antiviral activity was hydroxychloroquine (40 [7%] patients), followed by remdesivir (17 [3%] patients), lopinavir-ritonavir (six [1%] patients), and oseltamivir (three [1%] patients). Immunomodulatory medication used included corticosteroids (22 [4%] patients), intravenous immunoglobulin (seven [1%] patients), tocilizumab (four [1%] patients), anakinra (three [1%] patients), and siltuximab (one [<1%] patient). Four children died (case-fatality rate 0·69%, 95% CI 0·20-1·82); at study end, the remaining 578 were alive and only 25 (4%) were still symptomatic or requiring respiratory support. INTERPRETATION: COVID-19 is generally a mild disease in children, including infants. However, a small proportion develop severe disease requiring ICU admission and prolonged ventilation, although fatal outcome is overall rare. The data also reflect the current uncertainties regarding specific treatment options, highlighting that additional data on antiviral and immunomodulatory drugs are urgently needed. FUNDING: ptbnet is supported by Deutsche Gesellschaft für Internationale Zusammenarbeit.",2020,Jun 25,Lancet Child Adolesc Health,,,,32593339,10.1016/s2352-4642(20)30177-2,,#2136,Götzinger 2020,"",extracted; qa done
A multicenter national survey of children with SARS-CoV-2 infection admitted to Spanish Pediatric Intensive Care Units,"González Cortés, R.; García-Salido, A.; Roca Pascual, D.; Slöcker Barrio, M.; de Carlos Vicente, J. C.",,2020,Jun 22,Intensive Care Med,,,1-3,32572533,10.1007/s00134-020-06146-8,,#2139,GonzálezCortés 2020,"",Letter to Editor; extracted; qa done
Children in Critical Care Due to Severe Acute Respiratory Syndrome Coronavirus 2 Infection: Experience in a Spanish Hospital,"García-Salido, A.; Leoz-Gordillo, I.; Martínez de Azagra-Garde, A.; Nieto-Moro, M.; Iglesias-Bouzas, M. I.; García-Teresa, MÁ; Cabrero-Hernández, M.; De Lama Caro-Patón, G.; Gochi Valdovinos, A.; González-Brabin, A.; Serrano-González, A.","OBJECTIVES: Spain has been one of the countries most severely affected by the coronavirus disease 2019. This study aims to describe a series of children admitted to a PICU due to coronavirus disease 2019 infection. DESIGN: Prospective observational study. SETTING: Tertiary hospital in Madrid, Spain. PATIENTS: Children admitted to the PICU with severe acute respiratory syndrome coronavirus 2 (severe acute respiratory syndrome coronavirus 2) infection, from March 1, 2020, to April 15, 2020. INTERVENTIONS: Observational study. MEASUREMENTS AND MAIN RESULTS: Epidemiologic data, previous clinical characteristics, support therapy needed, imaging tests, laboratory observations on admission, and pharmacologic therapy. Eleven children were admitted to the PICU, with suspected coronavirus disease 2019; the polymerase chain reaction test was positive in seven. The median age was 100.7 months (range, 0.5-162). Five were admitted from the emergency department and two from the ward. The Pediatric Sequential Organ Failure Assessment score was 3 (range, 0-9), and Pediatric Risk of Mortality II score was 4 (range, 0-16). All children were previously healthy except one (allogeneic hematopoietic stem cell transplantation). Respiratory symptoms and fever were prevalent. A chest radiograph led to a pneumonia diagnosis. Not all patients presented with lymphopenia on admission. D-Dimer and ferritin were elevated. All patients needed oxygen therapy through a nasal cannula; five patients received high-flow nasal cannula therapy, which was later substituted with noninvasive ventilation in four. Mechanical ventilation was necessary in two patients on the first day of PICU admission. Two children required mechanical ventilation and inotropic support. Tocilizumab was applied in two intubated children. Also, four children received heparin. No patients died. CONCLUSIONS: On the whole, the children were previously healthy and are more than 1 year old. Respiratory symptoms were the leading cause of PICU admission, making respiratory support the principal therapy. Patients requiring mechanical ventilation showed deterioration on the first day of admission. These children seemed to require close monitoring, and multicenter studies are necessary.",2020,May 27,Pediatr Crit Care Med,,,,32459790,10.1097/pcc.0000000000002475,,#2183,García-Salido 2020,"",extracted; qa done
"Multicentre Italian study of SARS-CoV-2 infection in children and adolescents, preliminary data as at 10 April 2020","Garazzino, S.; Montagnani, C.; Donà, D.; Meini, A.; Felici, E.; Vergine, G.; Bernardi, S.; Giacchero, R.; Lo Vecchio, A.; Marchisio, P.; Nicolini, G.; Pierantoni, L.; Rabbone, I.; Banderali, G.; Denina, M.; Venturini, E.; Krzysztofiak, A.; Badolato, R.; Bianchini, S.; Galli, L.; Villani, A.; Castelli-Gattinara, G.; The Italian Sitip-Sip Pediatric Infection Study, Group","Data on features of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in children and adolescents are scarce. We report preliminary results of an Italian multicentre study comprising 168 laboratory-confirmed paediatric cases (median: 2.3 years, range: 1 day-17.7 years, 55.9% males), of which 67.9% were hospitalised and 19.6% had comorbidities. Fever was the most common symptom, gastrointestinal manifestations were frequent; two children required intensive care, five had seizures, 49 received experimental treatments and all recovered.",2020,May,Euro Surveill,25,18,,32400362,10.2807/1560-7917.Es.2020.25.18.2000600,,#2188,Garazzino 2020,"",extracted; qa done
"The epidemiological characteristics of 2019 novel coronavirus diseases (COVID-19) in Jingmen, Hubei, China","Gao, Q.; Hu, Y.; Dai, Z.; Xiao, F.; Wang, J.; Wu, J.","There is currently a global outbreak of coronavirus disease 2019 (COVID-19), and its epidemic characteristics in the areas where the outbreak has been successfully controlled are rarely reported.Describe the epidemic characteristics of COVID-19 in Jingmen, Hubei, introduce the local prevention and control experience, and observe the impact of various prevention and control measures on the number of new cases.All the COVID-19 patients diagnosed in the municipal districts of Jingmen from January 12 to February 29, 2020 were enrolled in this study. We described epidemiological data and observed the impact of control measures on the epidemic.Of the 219 cases (110 men and 109 women), 88 (40%) had exposure to Wuhan. The median age was 48 years (range, 2-88 years; IQR, 35-60). Thirty-three severe patients with a median age of 66 years (range, 33-82 years, IQR, 57-76) were treated in intensive care units; out of these patients, 66.7% (22) were men and 19 (57.5%) had chronic diseases, including hypertension, diabetes, heart failure, stroke, and renal insufficiency. Under the control measures, the number of new patients gradually decreased and nearly disappeared after 18 days. Wearing masks in all kinds of situations prevents most infections and is one of the most effective prevention and control measures.In conclusion, all people are susceptible to COVID-19, and older males and those with comorbid conditions are more likely to become severe cases. Even though COVID-19 is highly contagious, control measures have proven to be very effective, particularly wearing masks, which could prevent most infections.",2020,Jun 5,Medicine (Baltimore),99,23,e20605,32502034,10.1097/md.0000000000020605,,#2191,Gao 2020,"",extracted; figure for extraction; qa done
Coronavirus Disease 2019 in Children Cared for at Texas Children's Hospital: Initial Clinical Characteristics and Outcomes,"Foster, C. E.; Moulton, E. A.; Munoz, F. M.; Hulten, K. G.; Versalovic, J.; Dunn, J.; Revell, P.; Koy, T. H.; Arrington, A. S.; Marquez, L.; Campbell, J.","We describe the clinical course of 57 children with coronavirus disease 2019 (COVID-19) cared for through a single hospital system. Most children were mildly symptomatic, and only a few patients with underlying medical conditions required hospitalization. System-wide patient evaluation processes allowed for prompt identification and management of COVID-19 patients.",2020,Jun 6,J Pediatric Infect Dis Soc,,,,32504532,10.1093/jpids/piaa072,,#2215,Foster 2020,"",extracted; qa done
"Clinical characteristics of COVID-19 in children compared with adults in Shandong Province, China","Du, W.; Yu, J.; Wang, H.; Zhang, X.; Zhang, S.; Li, Q.; Zhang, Z.","AIMS AND BACKGROUND: The COVID-19 outbreak spread in China and is a threat to the world. We reported on the epidemiological, clinical, laboratory, and radiological characteristics of children cases to help health workers better understand and provide timely diagnosis and treatment. METHODS: Retrospectively, two research centers' case series of 67 consecutive hospitalized cases including 53 adult and 14 children cases with COVID-19 between 23 Jan 2020 and 15 Feb 2020 from Jinan and Rizhao were enrolled in this study. Epidemiological, clinical, laboratory, and radiological characteristics of children and adults were analyzed and compared. RESULTS: Most cases in children were mild (21.4%) and conventional cases (78.6%), with mild clinical signs and symptoms, and all cases were of family clusters. Fever (35.7%) and dry cough (21.4%) were described as clinical manifestations in children cases. Dry cough and phlegm were not the most common symptoms in children compared with adults (p = 0.03). In the early stages of the disease, lymphocyte counts did not significantly decline but neutrophils count did in children compared with adults (p = 0.02). There was a lower level of CRP (p = 0.00) in children compared with adults. There were 8 (57.1%) asymptomatic cases and 6 (42.9%) symptomatic cases among the 14 children cases. The age of asymptomatic patients was younger than that of symptomatic patients (p = 0.03). Even among asymptomatic patients, 5 (62.5%) cases had lung injuries including 3 (60%) cases with bilateral involvement, which was not different compared with that of symptomatic cases (p = 0.58, p = 0.74). CONCLUSIONS: The clinical symptoms of children are mild, there is substantial lung injury even among children, but that there is less clinical disease, perhaps because of a less pronounced inflammatory response, and that the occurrence of this pattern appears to inversely correlate with age.",2020,Apr 16,Infection,,,1-8,32301099,10.1007/s15010-020-01427-2,,#651,Du 2020,"",extracted; qa done
Persistence of SARS-CoV-2 virus RNA in feces: A case series of children,"Du, W.; Yu, J.; Liu, X.; Chen, H.; Lin, L.; Li, Q.","AIMS: To determine how long SARS-CoV-2 virus RNA persists in fecal specimens in children with COVID-19. METHODS: Retrospectively, ten children with confirmed COVID-19 in the Jinan Infectious Disease Hospital Affiliated to Shandong University were enrolled between January 23, 2020 to March 9, 2020. Epidemiological, clinical, laboratory, and radiological characteristics of the children were analyzed. RT-PCR assays were performed to detect the SARS-CoV-2 virus RNA in the respiratory tract and fecal specimens in the follow-up after discharge. RESULTS: Among ten patients, five (50%) were asymptomatic and five (50%) showed mild symptoms of respiratory illness. The average age of asymptomatic children was younger than that of symptomatic children (p = 0.03). The decreases in white blood cell (WBC) (p = 0.03) and lymphocyte (p = 0.03) counts were more severe in symptomatic patients than those in asymptomatic patients. During the follow-up examination after discharge, seven out of ten patients contained SARS-CoV-2 virus RNA in their fecal specimens, despite all patients showed negative results in respiratory tract specimens. One out of those seven patients relapsed. The median time from onset to being negative results in respiratory tract and fecal specimens was 9 days and 34.43 days, respectively. CONCLUSIONS: SARS-CoV-2 virus RNA persists much longer in the gastrointestinal (GI) tract than that in respiratory tract.",2020,Jun 7,J Infect Public Health,13,7,926-31,32546439,10.1016/j.jiph.2020.05.025,,#2302,Du 2020,"",extracted; qa done
Clinical characteristics of 182 pediatric COVID-19 patients with different severities and allergic status,"Du, H.; Dong, X.; Zhang, J. J.; Cao, Y. Y.; Akdis, M.; Huang, P. Q.; Chen, H. W.; Li, Y.; Liu, G. H.; Akdis, C. A.; Lu, X. X.; Gao, Y. D.","BACKGROUND: The pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection has made widespread impact recently. We aim to investigate the clinical characteristics of COVID-19 children with different severities and allergic status. METHODS: Data extracted from the electronical medical records, including demographics, clinical manifestations, comorbidities, laboratory and immunological results and radiological images of 182 hospitalized COVID-19 children were summarized and analyzed. RESULTS: The median age was 6 years old, ranging from 3 days to 15 years, and there were more boys (male-female ratio about 2:1) within the studied 182 patients. Most of the children were infected by family members. Fever (43.4%) and dry cough (44.5%) were common symptoms, and gastrointestinal manifestations accounted for 11.0%, including diarrhea, abdominal discomfort and vomiting. 71.4% had abnormal chest computed tomography (CT) scan images, and typical signs of pneumonia were ground-glass opacity and local patchy shadowing on admission. Laboratory results were mostly within normal ranges, and only a small ratio of lymphopenia (3.9%) and eosinopenia (29.5%) were observed. The majority (97.8%) of infected children were not severe, and 24 (13.2%) of them had asymptomatic infections. Compared to children without pneumonia(manifested as asymptomatic and acute upper respiratory infection), children with pneumonia were associated with higher percentages of the comorbidity history, symptoms of fever and cough, and increased levels of serum procalcitonin, alkaline phosphatase and serum interleukins (IL)-2, IL-4, IL-6, IL-10 and TNF-α.There were no differences of treatments, duration of hospitalization, time from first positive to first negative nucleic acid testing and outcomes between children with mild pneumonia and without pneumonia. All the hospitalized COVID-19 children had recovered except one death due to intussusception and sepsis. In 43 allergic children with COVID-19, allergic rhinitis (83.7%) was the major disease, followed by drug allergy, atopic dermatitis, food allergy and asthma. Demographics and clinical features were not significantly different between allergic and non-allergic groups. Allergic patients showed less increase in acute phase reactants, procalcitonin, D-dimer and aspartate aminotransferase levels compared to all patients. Immunological profiles including circulating T, B and NK lymphocyte subsets, total immunoglobulin and complement levels and serum cytokines did not show any difference in allergic and pneumonia groups. Neither eosinophil counts nor serum total immunoglobulin E (IgE) levels showed a significant correlation with other immunological measures, such as other immunoglobulins, complements, lymphocyte subsets numbers and serum cytokine levels. CONCLUSION: Pediatric COVID-19 patients tended to have a mild clinical course. Patients with pneumonia had higher proportion of fever and cough and increased inflammatory biomarkers than those without pneumonia. There was no difference between allergic and non-allergic COVID-19 children in disease incidence, clinical features, laboratory and immunological findings. Allergy was not a risk factor for developing and severity of SARS-CoV-2 infection and hardly influenced the disease course of COVID-19 in children.",2020,Jun 10,Allergy,,,,32524611,10.1111/all.14452,,#2303,Du 2020,"",extracted; qa done
Epidemiology of COVID-19 Among Children in China,"Dong, Y.; Mo, X.; Hu, Y.; Qi, X.; Jiang, F.; Jiang, Z.; Tong, S.","OBJECTIVE: To identify the epidemiological characteristics and transmission patterns of pediatric patients with the 2019 novel coronavirus disease (COVID-19) in China. METHODS: Nationwide case series of 2135 pediatric patients with COVID-19 reported to the Chinese Center for Disease Control and Prevention from January 16, 2020, to February 8, 2020, were included. The epidemic curves were constructed by key dates of disease onset and case diagnosis. Onset-to-diagnosis curves were constructed by fitting a log-normal distribution to data on both onset and diagnosis dates. RESULTS: There were 728 (34.1%) laboratory-confirmed cases and 1407 (65.9%) suspected cases. The median age of all patients was 7 years (interquartile range: 2-13 years), and 1208 case patients (56.6%) were boys. More than 90% of all patients had asymptomatic, mild, or moderate cases. The median time from illness onset to diagnoses was 2 days (range: 0-42 days). There was a rapid increase of disease at the early stage of the epidemic, and then there was a gradual and steady decrease. The disease rapidly spread from Hubei province to surrounding provinces over time. More children were infected in Hubei province than any other province. CONCLUSIONS: Children of all ages appeared susceptible to COVID-19, and there was no significant sex difference. Although clinical manifestations of children's COVID-19 cases were generally less severe than those of adult patients, young children, particularly infants, were vulnerable to infection. The distribution of children's COVID-19 cases varied with time and space, and most of the cases were concentrated in Hubei province and surrounding areas. Furthermore, this study provides strong evidence of human-to-human transmission.",2020,Mar 16,Pediatrics,,,,32179660,10.1542/peds.2020-0702,,#656,Dong 2020,"",extracted; qa done
Eleven faces of coronavirus disease 2019,"Dong, X.; Cao, Y. Y.; Lu, X. X.; Zhang, J. J.; Du, H.; Yan, Y. Q.; Akdis, C. A.; Gao, Y. D.","BACKGROUND AND AIMS: The outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection has recently spread worldwide and been declared a pandemic. We aim to describe here the various clinical presentations of this disease by examining eleven cases. METHODS: Electronic medical records of 11 patients with COVID-19 were collected, and demographics, clinical manifestations, outcomes, key laboratory results, and radiological images are discussed. RESULTS: The clinical course of the eleven cases demonstrated the complexity of the COVID-19 profile with different clinical presentations. Clinical manifestations range from asymptomatic cases to patients with mild and severe symptoms, with or without pneumonia. Laboratory detection of the viral nucleic acid can yield false-negative results, and serological testing of virus-specific IgG and IgM antibodies should be used as an alternative for diagnosis. Patients with common allergic diseases did not develop distinct symptoms and severe courses. Cases with a pre-existing condition of chronic obstructive pulmonary disease or complicated with a secondary bacterial pneumonia were more severe. CONCLUSION: All different clinical characteristics of COVID-19 should be taken into consideration to identify patients that need to be in strict quarantine for the efficient containment of the pandemic.",2020,Mar 20,Allergy,,,,32196678,10.1111/all.14289,,#657,Dong 2020,"",extracted; qa done
SARS-CoV-2 infection in children in Parma,"Dodi, I.; Castellone, E.; Pappalardo, M.; Rubini, M.; Veronese, P.; Ruberto, C.; Bianchi, L.; Iovane, B.; Maffini, V.",not available.,2020,May 11,Acta Biomed,91,2,214-215,32420948,10.23750/abm.v91i2.9563,,#2625,Dodi 2020,"",Letter to Editor; case report; extracted; qa done
Children are protected against SARS-CoV-2 infection,"Dimeglio, C.; Mansuy, J. M.; Charpentier, S.; Claudet, I.; Izopet, J.",,2020,Jul,J Clin Virol,128,,104451,32454427,10.1016/j.jcv.2020.104451,,#2637,Dimeglio 2020,"",extracted; qa done
